Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,1246198,-,-,-,40.77,-73.94,-5,0,-5,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,v3.0.1
Year,Month,Day,Hour,Minute,DHI,DNI,GHI,Cloud Type,Dew Point,Solar Zenith Angle,Surface Albedo,Wind Speed,Precipitable Water,Wind Direction,Relative Humidity,Temperature,Pressure
2000,1,1,0,0,0,0,0,0,0,162.28,0.0,1.1,0.721,255.3,99.3,0,1020.0
2000,1,1,0,30,0,0,0,0,0,161.11,0.0,1.1,0.722,255.3,99.31,0,1020.0
2000,1,1,1,0,0,0,0,0,0,158.12,0.0,1.1,0.724,258.0,100.0,0,1020.0
2000,1,1,1,30,0,0,0,0,0,153.93,0.0,1.1,0.725,258.0,100.0,0,1020.0
2000,1,1,2,0,0,0,0,0,0,149.04,0.0,1.1,0.727,260.5,100.0,0,1020.0
2000,1,1,2,30,0,0,0,1,0,143.76,0.0,1.0,0.725,260.5,100.0,0,1020.0
2000,1,1,3,0,0,0,0,1,0,138.26,0.0,1.0,0.723,261.7,100.0,0,1020.0
2000,1,1,3,30,0,0,0,1,0,132.64000000000001,0.0,1.0,0.721,261.7,100.0,0,1020.0
2000,1,1,4,0,0,0,0,1,0,126.97,0.0,1.0,0.719,265.6,100.0,0,1020.0
2000,1,1,4,30,0,0,0,1,0,121.3,0.0,1.1,0.721,265.6,100.0,0,1020.0
2000,1,1,5,0,0,0,0,1,0,115.66,0.0,1.3,0.724,265.8,98.81,0,1020.0
2000,1,1,5,30,0,0,0,1,0,110.09,0.0,1.2000000000000002,0.734,265.8,98.83,0,1020.0
2000,1,1,6,0,0,0,0,1,0,104.63,0.0,1.1,0.744,254.0,97.69,0,1020.0
2000,1,1,6,30,0,0,0,1,0,99.3,0.0,1.1,0.763,254.0,97.7,0,1020.0
2000,1,1,7,0,0,0,0,1,0,94.15,0.0,1.2000000000000002,0.782,236.9,97.56,0,1020.0
2000,1,1,7,30,0,0,0,1,0,89.2,0.0,1.2000000000000002,0.806,236.9,97.57000000000001,0,1020.0
2000,1,1,8,0,4,0,4,4,0,84.52,0.0,1.2000000000000002,0.8320000000000001,228.20000000000002,100.0,1,1020.0
2000,1,1,8,30,9,0,9,4,0,80.15,0.0,1.2000000000000002,0.856,228.20000000000002,100.0,1,1020.0
2000,1,1,9,0,48,0,48,4,1,76.15,0.0,1.4000000000000001,0.881,223.10000000000002,100.0,2,1020.0
2000,1,1,9,30,121,85,147,4,1,72.59,0.0,1.4000000000000001,0.898,223.10000000000002,93.48,2,1020.0
2000,1,1,10,0,139,42,154,4,1,69.53,0.0,1.5,0.916,220.0,92.67,3,1020.0
2000,1,1,10,30,121,605,357,0,1,67.07000000000001,0.0,1.6,0.915,220.0,92.64,3,1020.0
2000,1,1,11,0,124,642,393,0,2,65.25,0.0,1.7000000000000002,0.914,216.20000000000002,92.23,4,1020.0
2000,1,1,11,30,127,658,414,0,2,64.14,0.0,1.8,0.9,216.20000000000002,92.18,5,1020.0
2000,1,1,12,0,120,688,424,0,3,63.78,0.0,1.9000000000000001,0.887,214.10000000000002,92.33,6,1020.0
2000,1,1,12,30,119,684,417,0,3,64.18,0.0,1.9000000000000001,0.882,214.10000000000002,92.29,6,1020.0
2000,1,1,13,0,109,696,400,0,4,65.33,0.0,2.0,0.878,212.10000000000002,92.03,7,1020.0
2000,1,1,13,30,104,671,365,0,4,67.18,0.0,1.8,0.887,212.10000000000002,92.02,7,1020.0
2000,1,1,14,0,92,658,321,0,5,69.68,0.0,1.7000000000000002,0.896,209.70000000000002,89.46000000000001,7,1020.0
2000,1,1,14,30,84,604,263,0,5,72.76,0.0,1.4000000000000001,0.905,209.70000000000002,95.82000000000001,6,1020.0
2000,1,1,15,0,69,551,199,0,4,76.34,0.0,1.2000000000000002,0.915,208.4,100.0,5,1020.0
2000,1,1,15,30,54,441,128,0,2,80.36,0.0,1.2000000000000002,0.918,208.4,100.0,4,1020.0
2000,1,1,16,0,33,295,60,0,2,84.75,0.0,1.3,0.921,211.70000000000002,100.0,3,1020.0
2000,1,1,16,30,0,0,0,4,2,89.45,0.0,1.3,0.919,211.70000000000002,100.0,2,1020.0
2000,1,1,17,0,0,0,0,4,2,94.4,0.0,1.4000000000000001,0.918,219.20000000000002,100.0,2,1020.0
2000,1,1,17,30,0,0,0,0,2,99.57000000000001,0.0,1.4000000000000001,0.917,219.20000000000002,100.0,2,1020.0
2000,1,1,18,0,0,0,0,0,2,104.91,0.0,1.4000000000000001,0.917,227.10000000000002,100.0,2,1020.0
2000,1,1,18,30,0,0,0,0,1,110.37,0.0,1.3,0.918,227.10000000000002,100.0,2,1020.0
2000,1,1,19,0,0,0,0,0,1,115.94,0.0,1.3,0.919,233.9,100.0,2,1020.0
2000,1,1,19,30,0,0,0,1,1,121.58,0.0,1.2000000000000002,0.925,233.9,100.0,2,1020.0
2000,1,1,20,0,0,0,0,0,1,127.25,0.0,1.2000000000000002,0.931,237.8,100.0,2,1020.0
2000,1,1,20,30,0,0,0,0,1,132.92000000000002,0.0,1.1,0.9500000000000001,237.8,100.0,2,1020.0
2000,1,1,21,0,0,0,0,1,1,138.54,0.0,1.1,0.97,239.70000000000002,100.0,2,1020.0
2000,1,1,21,30,0,0,0,1,1,144.03,0.0,1.0,1.022,239.70000000000002,100.0,2,1020.0
2000,1,1,22,0,0,0,0,4,1,149.28,0.0,1.0,1.077,241.8,100.0,2,1020.0
2000,1,1,22,30,0,0,0,7,1,154.13,0.0,0.9,1.17,241.8,100.0,2,1020.0
2000,1,1,23,0,0,0,0,7,1,158.26,0.0,0.9,1.2630000000000001,240.9,100.0,2,1020.0
2000,1,1,23,30,0,0,0,7,1,161.16,0.0,0.9,1.367,240.9,100.0,2,1020.0
2000,1,2,0,0,0,0,0,4,1,162.20000000000002,0.0,0.9,1.471,240.20000000000002,100.0,2,1020.0
2000,1,2,0,30,0,0,0,4,1,161.07,0.0,0.8,1.546,240.20000000000002,100.0,2,1020.0
2000,1,2,1,0,0,0,0,4,1,158.11,0.0,0.8,1.622,239.9,100.0,2,1020.0
2000,1,2,1,30,0,0,0,4,1,153.94,0.0,0.7000000000000001,1.676,239.9,100.0,2,1020.0
2000,1,2,2,0,0,0,0,4,1,149.07,0.0,0.7000000000000001,1.731,243.60000000000002,100.0,2,1020.0
2000,1,2,2,30,0,0,0,0,1,143.8,0.0,0.7000000000000001,1.81,243.60000000000002,100.0,2,1020.0
2000,1,2,3,0,0,0,0,0,1,138.3,0.0,0.7000000000000001,1.889,242.10000000000002,100.0,2,1020.0
2000,1,2,3,30,0,0,0,4,1,132.68,0.0,0.7000000000000001,1.976,242.10000000000002,100.0,2,1020.0
2000,1,2,4,0,0,0,0,4,2,127.01,0.0,0.8,2.063,229.10000000000002,100.0,2,1020.0
2000,1,2,4,30,0,0,0,4,2,121.34,0.0,0.8,2.107,229.10000000000002,100.0,2,1020.0
2000,1,2,5,0,0,0,0,7,2,115.7,0.0,0.9,2.152,218.4,100.0,2,1020.0
2000,1,2,5,30,0,0,0,4,2,110.13,0.0,0.8,2.1590000000000003,218.4,100.0,2,1020.0
2000,1,2,6,0,0,0,0,4,2,104.66,0.0,0.8,2.1670000000000003,208.5,100.0,3,1020.0
2000,1,2,6,30,0,0,0,4,2,99.33,0.0,0.8,2.1350000000000002,208.5,100.0,3,1020.0
2000,1,2,7,0,0,0,0,7,2,94.17,0.0,0.8,2.104,197.3,100.0,3,1020.0
2000,1,2,7,30,0,0,0,7,2,89.22,0.0,0.8,2.061,197.3,100.0,3,1020.0
2000,1,2,8,0,16,0,16,7,2,84.53,0.0,0.9,2.017,191.8,100.0,4,1020.0
2000,1,2,8,30,34,0,34,7,2,80.15,0.0,1.1,1.994,191.8,100.0,4,1020.0
2000,1,2,9,0,92,161,131,7,4,76.14,0.0,1.4000000000000001,1.971,194.4,100.0,5,1020.0
2000,1,2,9,30,121,87,147,7,4,72.56,0.0,1.6,1.983,194.4,100.0,5,1020.0
2000,1,2,10,0,140,48,157,7,4,69.5,0.0,1.8,1.995,206.0,100.0,6,1020.0
2000,1,2,10,30,167,151,226,7,5,67.02,0.0,1.8,2.047,206.0,98.57000000000001,6,1020.0
2000,1,2,11,0,177,226,272,7,6,65.19,0.0,1.8,2.099,212.70000000000002,97.57000000000001,7,1020.0
